name,email,phoneNumber,userId,sourceId,sourceName,cacValue,cacCurrency,active,emailSubscribe,smsSubscribe,createdAt,var1,var2
,bsalelover143v@plemedci.ml,,,,,,,0,1,0,2020-07-13,,
,email@email.cm,,,,,,,0,1,0,2020-07-13,,
"Contact Name",natagov101@mailinator.com,,,,,11,USD,0,1,0,2020-07-13,,
"Contact Name",natagov5@mailinator.com,,,,,11,USD,0,1,0,2020-07-13,,
"Contact Name",mowoy215@mailfile.org," 380931891827",,,,11,USD,0,1,1,2020-07-12,,
"Contact Name",mowoy2154@mailfile.org,,,,,11,USD,0,1,0,2020-07-12,,
"Contact Name","mowoy57976 2154@mailfile.org",,,,,11,USD,0,1,0,2020-07-10,,
"Contact Name","kasia.vell 23@gmail.com",,,,,11,USD,0,1,0,2020-07-10,,
"Contact Name","kasia.vell 13@gmail.com",,,,,11,USD,0,1,0,2020-07-10,,
"Contact Name",test@test.com,,,,,11,USD,0,1,0,2020-07-10,,
"Contact Name",source3@domain.com,,,5efc8503efeef96ca3151931,"Test orro",11,USD,1,1,0,2020-07-01,,
test2,source2@domain.com,,,5e987fbe2fcea026174f1cb1,"Test erre",0.1277,EUR,1,1,0,2020-07-01,,
test1,source@domain.com,,,5e987fbe2fcea026174f1cb1,"Test erre",0.05,USD,1,1,0,2020-07-01,,
Kate,kasia.vell+13@gmail.com,380931831885,,,,,,1,1,0,2019-12-13,,
Kate,kasia.vell+23@gmail.com,380931831887,,,,,,1,1,0,2019-12-13,,
,mowoy57976+2154@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57977+2155@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57978+2156@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57979+2157@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57980+2158@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57981+2159@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57982+2160@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57983+2161@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57984+2162@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57985+2163@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57986+2164@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57987+2165@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57988+2166@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57989+2167@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57990+2168@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57991+2169@mailfile.org,,,,,,,1,1,0,2019-12-13,,
,mowoy57992+2170@mailfile.org,,,,,,,1,1,0,2019-12-13,,
